,randNumCol,mid1,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,HW10
101,287712537,106.0,47.5,41.0,50.0,52.0,42.0,50.0,48.0,50.0,50.0,48.0
102,496648192,150.0,52.0,50.0,53.0,52.0,51.0,50.0,49.0,49.0,49.0,55.0
103,139056282,99.0,45.0,43.0,50.0,51.0,44.0,51.0,47.0,45.0,,
104,968248176,125.0,48.0,42.5,51.5,49.0,48.0,48.0,44.0,45.0,49.0,
105,744337479,149.5,50.0,48.0,51.5,52.0,50.0,44.0,,50.0,,
106,105324844,114.0,40.5,47.0,44.0,46.5,46.0,38.0,48.0,39.0,44.0,55.0
107,484405746,97.5,43.0,43.0,43.0,50.0,49.0,45.0,42.0,43.0,29.0,55.0
108,943661848,127.5,48.0,49.0,49.0,52.0,47.0,50.0,50.0,,,
109,359759230,126.5,44.0,47.0,43.5,50.0,49.0,50.0,38.0,42.0,50.0,50.0
110,442821320,102.0,47.0,47.0,51.0,49.5,52.0,50.0,50.0,3.0,2.0,55.0
111,963746914,105.0,35.0,40.0,49.5,52.0,41.0,46.0,52.0,50.0,,
112,410273349,134.0,47.0,48.0,51.5,48.0,52.0,52.0,52.0,49.0,48.0,55.0
113,928986287,133.5,38.0,50.0,48.0,52.0,51.0,47.0,45.0,48.0,48.0,
114,411913399,81.0,52.0,48.0,47.0,48.5,27.0,,,,,
115,717283131,115.5,38.5,29.0,50.0,50.0,50.0,48.0,46.0,46.0,45.0,
116,889941393,143.0,52.0,48.0,53.0,52.0,52.0,46.0,,50.0,,
117,788596770,136.0,46.0,48.0,51.0,44.0,49.0,46.0,48.0,48.0,47.0,30.0
118,941280573,131.5,52.0,51.0,50.0,50.5,52.0,52.0,52.0,53.0,,
119,250884994,145.0,39.0,47.0,44.5,43.5,49.0,41.0,38.0,40.0,42.0,52.0
120,719711907,141.0,49.0,45.0,47.0,42.0,48.0,44.0,48.0,50.0,47.0,55.0
121,118397071,75.0,33.0,43.5,43.5,43.0,49.0,41.0,39.0,38.0,48.0,55.0
122,888606400,71.0,49.0,52.0,53.0,52.0,49.0,50.0,47.0,48.0,,50.0
123,193781663,113.0,27.0,34.0,34.0,32.5,37.0,33.0,37.0,31.0,,51.0
124,236595923,139.0,52.0,51.0,48.0,52.0,52.0,46.0,49.0,,,55.0
125,464591232,139.5,44.0,38.0,46.0,52.0,47.0,50.0,50.0,49.0,50.0,
126,718131231,133.0,49.0,44.0,50.0,50.0,48.0,49.0,,44.0,,
127,138190992,148.0,53.0,51.0,47.0,,50.0,49.0,50.0,,50.0,
128,188148399,103.0,44.0,47.0,53.0,41.5,46.0,42.0,50.0,45.0,45.0,55.0
129,258815820,136.0,42.5,50.0,51.5,49.0,44.0,46.0,48.0,,,
130,177969362,129.0,43.0,46.0,48.5,48.0,41.0,50.0,48.0,,,
131,200495348,135.5,45.0,47.0,38.5,52.0,48.5,50.0,50.0,44.0,47.0,55.0
132,228387210,137.0,43.0,50.0,53.0,47.0,50.0,50.0,50.0,,,
133,177538742,88.5,50.0,49.0,44.5,50.0,47.0,,50.0,45.0,,
134,251182625,121.0,26.5,47.0,25.5,49.0,41.0,27.0,23.0,37.0,25.0,43.0
135,897003650,82.5,50.0,48.0,52.0,19.5,48.0,50.0,48.0,45.0,48.0,
136,851445222,113.0,54.0,49.0,49.0,,50.0,,44.0,48.0,44.0,55.0
137,980531633,124.0,31.0,44.0,41.0,43.5,37.0,47.0,46.0,47.0,43.0,
138,857674188,138.0,28.0,49.0,,47.5,48.0,42.0,,42.0,41.0,50.0
139,636016277,121.0,29.0,45.0,40.0,41.5,31.0,42.0,44.0,36.0,24.0,50.0
140,754161398,42.0,,33.0,49.0,41.0,47.0,41.0,,36.0,50.0,55.0
141,488411601,82.5,50.0,47.5,50.0,49.0,44.0,38.0,43.0,33.0,44.0,35.0
142,722597200,120.5,42.0,48.0,44.0,43.0,39.0,45.0,50.0,47.0,46.0,50.0
143,147623686,92.5,33.5,47.0,43.5,46.5,47.0,,47.0,47.0,50.0,50.0
144,549089373,121.0,43.0,49.0,47.0,50.0,45.0,50.0,50.0,48.0,49.0,
145,706103987,137.5,37.0,50.0,48.0,52.0,,47.0,40.5,38.0,37.0,
146,974175861,136.0,49.0,42.0,44.5,47.0,46.0,44.0,,44.0,49.0,
147,341083491,94.0,46.0,37.0,50.0,50.0,49.0,44.0,,48.0,50.0,10.0
148,564894421,69.0,17.0,,,23.0,,34.0,18.0,27.0,40.0,
149,496833752,133.5,50.0,48.5,42.0,50.5,51.0,,,,,
150,881416106,121.5,40.0,42.0,44.0,35.5,47.0,42.0,35.0,44.0,46.0,55.0
151,781669299,121.5,40.0,42.0,44.0,35.5,47.0,42.0,35.0,44.0,46.0,55.0
152,119077366,150.0,49.0,51.0,53.0,52.0,52.0,50.0,51.0,53.0,,
153,834807552,144.5,50.0,48.0,50.0,50.0,48.0,46.0,36.0,45.0,,
154,307090791,127.5,49.0,49.0,50.0,50.0,47.0,50.0,48.0,50.0,,
155,540669649,129.0,44.0,51.0,50.0,50.5,51.5,46.0,43.0,,53.0,55.0
156,994769592,114.0,44.0,48.0,37.0,43.0,50.0,48.0,36.0,10.0,,
157,936606317,146.5,37.0,35.0,47.5,44.5,48.0,46.0,36.0,,,51.0
158,535181971,84.0,49.0,49.0,50.0,50.0,47.0,45.0,,,,55.0
159,265576960,134.0,47.0,50.5,50.0,48.0,49.0,45.0,48.0,45.0,36.0,
160,706684758,134.5,31.0,47.0,51.0,52.0,47.0,50.0,48.0,40.0,41.0,55.0
161,262076393,108.0,50.0,51.0,47.0,,48.0,48.0,,45.0,48.0,
162,529096059,115.0,13.0,7.0,,40.0,32.0,35.0,31.0,,,
163,831110918,108.5,47.0,44.0,33.0,33.5,42.0,46.5,50.0,33.0,27.0,55.0
164,499452888,115.0,33.0,48.0,48.0,50.0,52.0,51.0,52.0,52.0,45.0,50.0
165,305089579,118.5,38.5,34.5,47.0,47.5,47.0,49.0,49.0,45.0,49.0,
166,800103092,126.0,42.0,50.0,48.0,52.0,50.0,46.0,50.0,50.0,50.0,50.0
167,226714695,150.0,49.0,46.0,53.0,50.0,47.0,48.0,45.0,47.0,50.0,
168,382807776,70.0,34.0,49.0,45.0,46.0,,46.0,,39.0,45.0,
169,538095794,141.0,47.0,49.0,50.0,50.5,47.0,49.0,52.0,50.0,,
170,391282183,132.0,45.0,47.0,44.0,48.0,50.0,44.0,33.0,50.0,,50.0
171,761663525,132.0,44.0,49.0,49.5,52.0,49.0,42.0,47.0,48.0,26.0,
172,158082447,133.0,36.0,27.5,50.0,52.0,46.0,42.0,46.0,49.0,46.0,
173,654272102,77.5,32.0,47.0,47.0,46.0,49.0,47.0,47.0,44.0,,48.0
174,242433745,99.0,48.0,51.0,47.5,50.0,49.0,48.0,50.0,47.0,,
175,748668207,104.0,44.5,50.0,50.0,51.0,50.0,51.0,45.0,47.0,50.0,
176,416498814,130.0,46.5,48.0,47.0,16.0,48.0,,,48.0,48.0,50.0
177,714416096,133.0,43.0,50.0,53.0,51.0,52.0,,44.0,50.0,47.0,55.0
178,803783009,145.0,49.0,49.0,47.0,48.5,48.0,46.0,39.0,,48.0,
179,422591545,119.5,37.0,42.0,49.0,49.0,45.0,43.0,,,44.0,55.0
180,979704902,100.0,46.0,39.0,37.0,33.0,31.0,43.0,44.0,39.0,38.0,50.0
181,526557461,70.5,49.0,37.0,49.0,10.0,,46.0,46.0,,18.0,50.0
182,599867770,108.5,36.0,48.0,42.5,48.0,47.0,44.0,35.0,48.0,51.0,55.0
183,918749665,73.0,49.0,47.5,48.0,49.5,49.0,45.0,48.0,49.0,53.0,
184,959883566,140.5,44.5,51.0,51.0,52.0,49.0,50.0,50.0,48.0,49.0,
185,597567139,116.5,49.5,40.0,46.0,52.0,45.0,48.0,50.0,44.0,50.0,
186,103516833,120.0,45.0,48.0,42.5,44.5,39.0,37.0,36.0,38.0,50.0,
187,992611871,131.0,38.0,46.0,38.5,48.5,37.0,41.0,47.0,42.0,,
188,583945776,130.5,47.0,48.0,48.0,47.0,49.0,49.0,48.0,45.0,,
189,468351365,136.0,45.0,45.0,50.0,50.0,49.0,50.0,48.0,48.0,,
190,829757696,124.5,49.0,49.0,53.0,48.5,50.0,50.0,50.0,,,55.0
191,828110959,113.0,51.5,51.0,51.5,52.0,47.0,51.0,39.0,43.0,,
192,818120983,141.0,48.0,49.0,49.0,50.0,44.0,48.0,48.0,49.0,50.0,
193,122086878,93.0,48.0,49.0,46.0,48.0,50.0,43.0,,,50.0,55.0
194,992179622,94.5,35.0,50.0,47.0,44.0,45.0,38.0,46.0,44.0,,
195,580872504,121.5,50.0,51.0,49.0,52.0,49.0,46.0,48.0,38.0,51.0,
196,340015460,133.5,40.5,45.0,42.5,45.0,49.0,41.0,41.0,39.0,53.0,
197,315771604,60.0,46.0,46.0,43.0,50.0,46.0,50.0,48.0,,,
198,287997147,125.0,49.0,49.0,43.0,10.0,51.0,45.0,46.0,40.0,52.0,
199,174700007,25.0,21.5,11.0,,20.5,46.0,,,,,
200,934612942,133.0,40.0,50.0,44.5,37.5,46.0,50.0,47.0,48.0,50.0,53.75
201,237280992,147.5,47.0,51.0,53.0,50.0,48.0,50.0,33.0,47.0,38.0,
202,587634781,128.5,54.0,44.0,49.0,49.0,48.0,49.0,50.0,50.0,49.0,55.0
203,734458226,123.5,40.0,48.0,51.0,50.0,47.0,48.0,50.0,50.0,,
204,286960191,136.0,46.0,46.0,47.0,40.0,46.0,42.0,,43.0,46.0,
205,807600492,106.5,28.0,35.0,37.5,37.5,48.0,49.0,40.0,42.0,47.0,46.0
206,915813150,146.5,51.0,46.0,53.0,52.0,49.0,49.0,50.0,44.0,36.0,50.0
